id,observed_on,time_observed_at,captive_cultivated,latitude,longitude,iconic_taxon_name,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name,taxon_subspecies_name
354354982,2026-04-26T00:00:00,2026-04-26T09:55:11,False,22.1666111667,113.5511633333,Insecta,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Phygasia,Phygasia ornata,
354483938,2026-04-26T00:00:00,2026-04-26T09:33:15,False,22.1702027778,113.5475277778,Plantae,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Mussaenda,Mussaenda parviflora,
355170017,2026-04-26T00:00:00,2026-04-26T09:40:06,False,22.1687666667,113.5492866667,Fungi,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Clitopilus,Clitopilus crispus,
355330118,2026-04-25T00:00:00,2026-04-25T20:34:07,False,22.1969924415,113.5861348759,Amphibia,Animalia,Chordata,Amphibia,Anura,Eleutherodactylidae,Eleutherodactylus,Eleutherodactylus planirostris,
355345496,2026-04-26T00:00:00,2026-04-26T09:35:54,False,22.1694966667,113.5491116667,Plantae,Plantae,Tracheophyta,Polypodiopsida,Schizaeales,Lygodiaceae,Lygodium,Lygodium japonicum,
355350612,2026-04-25T00:00:00,2026-04-25T21:28:43,False,22.0889521452,113.5989916964,Insecta,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Plutodes,Plutodes costatus,
355358059,2026-04-25T00:00:00,2026-04-25T22:04:20,False,22.0969779525,113.5837779776,Insecta,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Epobeidia,Epobeidia tigrata,
355365755,2026-04-25T00:00:00,2026-04-25T22:21:58,False,22.096137521,113.5781699208,Insecta,Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,Chremistica,Chremistica ochracea,
355377460,2026-04-25T00:00:00,2026-04-25T22:38:43,False,22.1941131305,113.595947015,Insecta,Animalia,Arthropoda,Insecta,Lepidoptera,Uraniidae,Phazaca,Phazaca leucocera,
355380059,2026-04-25T00:00:00,2026-04-25T22:40:08,False,22.1715509805,113.5799864157,Insecta,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Racotis,Racotis boarmiaria,
355389206,2026-04-25T00:00:00,2026-04-25T22:50:33,False,22.1738975063,113.5569397589,Insecta,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Ceresium,Ceresium sinicum,Ceresium sinicum ornaticolle
355398238,2026-04-25T00:00:00,2026-04-25T23:31:32,False,22.1225792766,113.5738312917,Insecta,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Hippotion,Hippotion rosetta,
355404375,2026-04-25T00:00:00,2026-04-25T23:35:52,False,22.1753904876,113.5763304077,Insecta,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Mocis,Mocis undata,
355406494,2026-04-25T00:00:00,2026-04-25T23:37:42,False,22.1669226049,113.5460615296,Insecta,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Charaxes,Charaxes bernardus,
355412508,2026-04-26T00:00:00,2026-04-26T00:09:38,False,22.1906362862,113.5897776881,Insecta,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Eudocima,Eudocima phalonia,
355424813,2026-04-26T00:00:00,2026-04-26T16:55:13,False,22.0968719117,113.5832544188,Reptilia,Animalia,Chordata,Reptilia,Squamata,Agamidae,Calotes,Calotes wangi,
355439634,2026-04-25T00:00:00,,False,22.1138104282,113.5936426504,Aves,Animalia,Chordata,Aves,Cuculiformes,Cuculidae,Hierococcyx,Hierococcyx sparverioides,
355754486,2026-04-27T00:00:00,2026-04-27T20:55:36,False,22.172553334,113.5497130772,Aves,Animalia,Chordata,Aves,Passeriformes,Corvidae,Urocissa,Urocissa erythroryncha,
355992954,2026-04-27T00:00:00,2026-04-27T13:28:31,False,22.153514576,113.5969829936,Insecta,Animalia,Arthropoda,Insecta,Odonata,Aeshnidae,Tetracanthagyna,Tetracanthagyna waterhousei,
356037447,2026-04-25T00:00:00,2026-04-25T20:16:32,False,22.1877062913,113.5693073941,Plantae,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Gardenia,Gardenia jasminoides,
